"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Vliegtuigbewegingen|Overlandbewegingen";"Vliegtuigbewegingen|Terreinbewegingen";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Totaal aantal passagiers";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Alle passagiers naar herkomst/bestemming";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Europa totaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Totaal op intercontinentale vluchten"
"Luchthavens";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam Airport Schiphol";"2013 2e kwartaal";"115847";"991";"14052631";"12987930";"1064701";"14052631";"9735021";"4317610"
"Amsterdam Airport Schiphol";"2014 2e kwartaal";"117921";"1025";"14581230";"13502059";"1079171";"14581230";"10245961";"4335269"
"Amsterdam Airport Schiphol";"2015 2e kwartaal";"121865";"864";"15471882";"14475557";"996325";"15471882";"11028547";"4443335"
"Amsterdam Airport Schiphol";"2016 2e kwartaal";"129198";"1531";"16712318";"16020519";"691799";"16712318";"12121048";"4591270"
"Amsterdam Airport Schiphol";"2017 2e kwartaal";"134717";"1419";"18189951";"17399635";"790316";"18189951";"13110483";"5079468"
"Amsterdam Airport Schiphol";"2018 2e kwartaal";"133568";"1458";"18788244";"18048917";"739327";"18788244";"13417613";"5370631"
"Amsterdam Airport Schiphol";"2019 2e kwartaal";"133708";"1590";"19048071";"18868078";"179993";"19048071";"13618279";"5429792"
"Amsterdam Airport Schiphol";"2020 2e kwartaal";"19727";"1196";"805252";"790699";"14553";"805252";"537478";"267774"
"Amsterdam Airport Schiphol";"2021 2e kwartaal";"51611";"1307";"3571657";"3556870";"14787";"3571657";"2572182";"999475"
"Amsterdam Airport Schiphol";"2022 2e kwartaal";"114346";"1447";"14884252";"14589062";"295190";"14884252";"10951299";"3932953"
"Amsterdam Airport Schiphol";"2023 2e kwartaal*";"119798";"1617";"16392545";"16165165";"227380";"16392545";"11606435";"4786110"
"Amsterdam Airport Schiphol";"2024 2e kwartaal*";"126388";"1656";"17404173";"17167650";"236523";"17404173";"12585039";"4819134"
"Rotterdam The Hague Airport";"1999 2e kwartaal";"11712";"18936";"162365";"146965";"15400";"162365";"160655";"1710"
"Rotterdam The Hague Airport";"2000 2e kwartaal";"12926";"19946";"206335";"134916";"71419";"206335";"205074";"1261"
"Rotterdam The Hague Airport";"2001 2e kwartaal";"10548";"17554";"215092";"147695";"67397";"215092";"213760";"1332"
"Rotterdam The Hague Airport";"2002 2e kwartaal";"10062";"14146";"175563";"117279";"58284";"175563";"174795";"768"
"Rotterdam The Hague Airport";"2003 2e kwartaal";"8921";"10864";"175212";"115759";"59453";"175212";"175212";"0"
"Rotterdam The Hague Airport";"2004 2e kwartaal";"9847";"9070";"323160";"243089";"80071";"323160";"323140";"20"
"Rotterdam The Hague Airport";"2005 2e kwartaal";"9764";"10350";"291233";"234814";"56419";"291233";"291233";"0"
"Rotterdam The Hague Airport";"2006 2e kwartaal";"9493";"9785";"295143";"233149";"61994";"295143";"295143";"0"
"Rotterdam The Hague Airport";"2007 2e kwartaal";"9413";"9500";"299185";"238364";"60821";"299185";"299185";"0"
"Rotterdam The Hague Airport";"2008 2e kwartaal";"9249";"8474";"275220";"209967";"65253";"275220";"275131";"89"
"Rotterdam The Hague Airport";"2009 2e kwartaal";"8293";"7532";"249165";"187227";"61938";"249165";"248756";"409"
"Rotterdam The Hague Airport";"2010 2e kwartaal";"8059";"7472";"239597";"172429";"67168";"239597";"239597";"0"
"Rotterdam The Hague Airport";"2011 2e kwartaal";"8196";"7222";"296483";"236213";"60270";"296483";"296137";"346"
"Rotterdam The Hague Airport";"2012 2e kwartaal";"7461";"5862";"321819";"261641";"60178";"321819";"320684";"1135"
"Rotterdam The Hague Airport";"2013 2e kwartaal";"8337";"5930";"426712";"373409";"53303";"426712";"426187";"525"
"Rotterdam The Hague Airport";"2014 2e kwartaal";"8296";"6142";"477121";"435495";"41626";"477121";"471297";"5824"
"Rotterdam The Hague Airport";"2015 2e kwartaal";"8689";"6462";"505220";"458010";"47210";"505220";"496832";"8388"
"Rotterdam The Hague Airport";"2016 2e kwartaal";"8302";"6830";"499177";"483151";"16026";"499177";"490931";"8246"
"Rotterdam The Hague Airport";"2017 2e kwartaal";"7864";"7314";"531081";"512963";"18118";"531081";"517859";"13222"
"Rotterdam The Hague Airport";"2018 2e kwartaal";"8785";"7106";"583097";"549918";"33179";"583097";"569374";"13723"
"Rotterdam The Hague Airport";"2019 2e kwartaal";"9033";"6686";"636648";"604169";"32479";"636648";"611900";"24748"
"Rotterdam The Hague Airport";"2020 2e kwartaal";"2662";"5474";"8105";"7253";"852";"8105";"8105";"0"
"Rotterdam The Hague Airport";"2021 2e kwartaal";"4202";"8281";"50166";"43954";"6212";"50166";"44683";"5483"
"Rotterdam The Hague Airport";"2022 2e kwartaal";"9513";"7784";"588091";"555347";"32744";"588091";"561039";"27052"
"Rotterdam The Hague Airport";"2023 2e kwartaal*";"9512";"7450";"623681";"609388";"14293";"623681";"588505";"35176"
"Rotterdam The Hague Airport";"2024 2e kwartaal*";"8575";"7111";"632572";"626056";"6516";"632572";"591538";"41034"
"Eindhoven Airport";"1999 2e kwartaal";"5357";"1627";"78097";"61758";"16339";"78097";"78097";"0"
"Eindhoven Airport";"2000 2e kwartaal";"5506";"961";"96547";"69569";"26978";"96547";"96547";"0"
"Eindhoven Airport";"2001 2e kwartaal";"3639";"752";"79369";"53863";"25506";"79369";"79369";"0"
"Eindhoven Airport";"2002 2e kwartaal";"3768";"679";"110084";"71913";"38171";"110084";"110084";"0"
"Eindhoven Airport";"2003 2e kwartaal";"3412";"572";"112435";"66767";"45668";"112435";"112213";"222"
"Eindhoven Airport";"2004 2e kwartaal";"3742";"454";"189246";"107629";"81617";"189246";"189246";"0"
"Eindhoven Airport";"2005 2e kwartaal";"3952";"422";"277709";"193356";"84353";"277709";"277709";"0"
"Eindhoven Airport";"2006 2e kwartaal";"3869";"169";"316167";"221089";"95078";"316167";"316121";"46"
"Eindhoven Airport";"2007 2e kwartaal";"4276";"89";"396862";"314558";"82304";"396862";"396862";"0"
"Eindhoven Airport";"2008 2e kwartaal";"4977";"51";"457870";"367160";"90710";"457870";"457748";"122"
"Eindhoven Airport";"2009 2e kwartaal";"4060";"37";"441032";"368782";"72250";"441032";"440789";"243"
"Eindhoven Airport";"2010 2e kwartaal";"4901";"30";"557138";"489641";"67497";"557138";"557138";"0"
"Eindhoven Airport";"2011 2e kwartaal";"6457";"0";"761788";"700776";"61012";"761788";"761578";"183"
"Eindhoven Airport";"2012 2e kwartaal";"6994";"0";"850554";"794374";"56180";"850554";"841459";"9095"
"Eindhoven Airport";"2013 2e kwartaal";"7388";"0";"959322";"907327";"51995";"959322";"936380";"22942"
"Eindhoven Airport";"2014 2e kwartaal";"8358";"0";"1154251";"1133199";"21052";"1154251";"1136412";"17839"
"Eindhoven Airport";"2015 2e kwartaal";"8623";"4";"1258562";"1238683";"19879";"1258562";"1230366";"28196"
"Eindhoven Airport";"2016 2e kwartaal";"7700";"0";"1113631";"1096982";"16649";"1113631";"1092167";"21464"
"Eindhoven Airport";"2017 2e kwartaal";"10020";"0";"1579929";"1562212";"17717";"1579929";"1546695";"33234"
"Eindhoven Airport";"2018 2e kwartaal";"10383";"2";"1706781";"1677280";"29501";"1706781";"1639500";"67281"
"Eindhoven Airport";"2019 2e kwartaal";"11653";"0";"1920237";"1918852";"1385";"1920237";"1835282";"84955"
"Eindhoven Airport";"2020 2e kwartaal";"1021";"1";"66614";"64545";"2069";"66614";"66614";"0"
"Eindhoven Airport";"2021 2e kwartaal";"2679";"0";"227211";"226857";"354";"227211";"222563";"4648"
"Eindhoven Airport";"2022 2e kwartaal";"11263";"0";"1795905";"1794667";"1238";"1795905";"1754719";"41186"
"Eindhoven Airport";"2023 2e kwartaal*";"11414";"0";"1903041";"1891180";"11861";"1903041";"1846523";"56518"
"Eindhoven Airport";"2024 2e kwartaal*";"11445";"0";"1956814";"1955874";"940";"1956814";"1894880";"61934"
"Maastricht Aachen Airport";"1999 2e kwartaal";"6002";"14748";"79465";"30387";"49078";"79465";"78677";"788"
