"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Vliegtuigbewegingen|Overlandbewegingen";"Vliegtuigbewegingen|Terreinbewegingen";"Handelsverkeer|Vluchten|Alle vluchten|Totaal alle vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Totaal aangekomen vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Totaal vertrokken vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Totaal aantal passagiers";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Totaal aangekomen passagiers";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Totaal vertrokken passagiers";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Alle passagiers naar herkomst/bestemming";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Europa totaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|EU-landen";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Overig Europa";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Totaal op intercontinentale vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Noord-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|West-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Centraal-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Oost-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Zuid-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Noord-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Midden-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Zuid-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|West-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Zuidoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Noordoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Oceanië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Overig/onbekend intercontinentaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Onbekend"
"Totaal luchthavens van nationaal belang";"2009 2e kwartaal";"125960";"29450";"112860";"103498";"9362";"56419";"51722";"4697";"56441";"51776";"4665";"12192401";"11148822";"1043579";"6083020";"5581967";"501053";"6109381";"5566855";"542526";"12192401";"8585407";"7186183";"1399224";"3606994";"577226";"231787";"108534";"0";"154210";"82695";"1874124";"1428828";"266960";"178336";"1155644";"310478";"411047";"434119";"0";"0";"0"
"Totaal luchthavens van nationaal belang";"2010 2e kwartaal";"120119";"34285";"106249";"95594";"10655";"53129";"47786";"5343";"53120";"47808";"5312";"12102893";"10919866";"1183027";"6034027";"5466313";"567714";"6068866";"5453553";"615313";"12102893";"8399529";"6978536";"1420993";"3703364";"610184";"257042";"108557";"197";"160843";"83545";"1847104";"1387682";"277392";"182030";"1246076";"330911";"427451";"487714";"0";"0";"0"
"Totaal luchthavens van nationaal belang";"2011 2e kwartaal";"135315";"25463";"122221";"111667";"10554";"61106";"55803";"5303";"61115";"55864";"5251";"14322977";"13171667";"1151310";"7159443";"6610684";"548759";"7163534";"6560983";"602551";"14322977";"10346122";"8644552";"1701570";"3976828";"586704";"218806";"115408";"7627";"159516";"85347";"2019512";"1505248";"307746";"206518";"1370612";"410996";"457053";"502563";"0";"0";"27"
"Totaal luchthavens van nationaal belang";"2012 2e kwartaal";"134474";"19407";"123456";"112935";"10521";"61720";"56417";"5303";"61736";"56518";"5218";"14674866";"13495892";"1178974";"7301183";"6745852";"555331";"7373683";"6750040";"623643";"14674866";"10586457";"8733360";"1853097";"4088405";"641767";"264715";"106754";"12652";"164054";"93592";"2060373";"1516769";"293069";"250535";"1386265";"375211";"454059";"556995";"0";"0";"4"
"Totaal luchthavens van nationaal belang";"2013 2e kwartaal";"137162";"15655";"127083";"116830";"10253";"63529";"58374";"5155";"63554";"58456";"5098";"15624792";"14416799";"1207993";"7771505";"7196511";"574994";"7853287";"7220288";"632999";"15624792";"11283709";"9309246";"1974463";"4341083";"685711";"315516";"102649";"15501";"155962";"96083";"2195120";"1609486";"302451";"283183";"1460252";"399868";"458184";"602200";"0";"0";"0"
"Totaal luchthavens van nationaal belang";"2014 2e kwartaal";"140067";"16579";"129667";"120140";"9527";"64814";"60057";"4757";"64853";"60083";"4770";"16336535";"15158598";"1177937";"8144959";"7582028";"562931";"8191576";"7576570";"615006";"16336535";"11977582";"9978615";"1998967";"4358953";"646577";"247073";"108155";"20753";"162588";"108008";"2198496";"1576534";"308235";"313727";"1513880";"460175";"462216";"591489";"0";"0";"0"
"Totaal luchthavens van nationaal belang";"2015 2e kwartaal";"144689";"15094";"134247";"125034";"9213";"67115";"62554";"4561";"67132";"62480";"4652";"17354312";"16248098";"1106214";"8626319";"8102289";"524030";"8727993";"8145809";"582184";"17354312";"12874389";"10747478";"2126911";"4479920";"650624";"252208";"117692";"20401";"171619";"88704";"2330656";"1673402";"319997";"337257";"1498640";"472445";"420420";"605775";"0";"0";"3"
"Totaal luchthavens van nationaal belang";"2016 2e kwartaal";"150648";"15827";"140147";"133258";"6889";"70068";"66663";"3405";"70079";"66595";"3484";"18448754";"17688008";"760746";"9183905";"8823916";"359989";"9264849";"8864092";"400757";"18448754";"13827765";"11796483";"2031282";"4620989";"592963";"183629";"129687";"21566";"160705";"97376";"2417425";"1734508";"351894";"331023";"1610601";"557923";"459734";"592944";"0";"0";"0"
"Totaal luchthavens van nationaal belang";"2017 2e kwartaal";"158002";"16617";"147800";"140457";"7343";"73883";"70276";"3607";"73917";"70181";"3736";"20418222";"19551673";"866549";"10177353";"9762357";"414996";"10240869";"9789316";"451553";"20418222";"15292279";"13209767";"2082512";"5125927";"661627";"209574";"146325";"22871";"168067";"114790";"2687646";"1910560";"417135";"359951";"1776654";"615429";"482738";"678487";"0";"0";"16"
"Totaal luchthavens van nationaal belang";"2018 2e kwartaal";"159132";"15452";"148277";"141225";"7052";"74120";"70597";"3523";"74157";"70628";"3529";"21226168";"20388447";"837721";"10557596";"10160549";"397047";"10668572";"10227898";"440674";"21226168";"15772540";"13576674";"2195866";"5453610";"746815";"261583";"153986";"20558";"183818";"126870";"2857698";"2047774";"410804";"399120";"1849097";"617352";"529591";"702154";"0";"0";"18"
