"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Vliegtuigbewegingen|Overlandbewegingen";"Vliegtuigbewegingen|Terreinbewegingen";"Handelsverkeer|Vluchten|Alle vluchten|Totaal alle vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Totaal aangekomen vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Totaal vertrokken vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Totaal aantal passagiers";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Totaal aangekomen passagiers";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Totaal vertrokken passagiers";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Alle passagiers naar herkomst/bestemming";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Europa totaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|EU-landen";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Overig Europa";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Totaal op intercontinentale vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Noord-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|West-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Centraal-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Oost-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Zuid-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Noord-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Midden-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Zuid-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|West-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Zuidoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Noordoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Oceanië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Overig/onbekend intercontinentaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Onbekend"
"Amsterdam Airport Schiphol";"2004 2e kwartaal";"106659";"1085";"103240";"93439";"9801";"51612";"46714";"4898";"51628";"46725";"4903";"11120317";"9896355";"1223962";"5520010";"4940672";"579338";"5600307";"4955683";"644624";"11120317";"7773115";"6067975";"1705140";"3347202";"423571";"153440";"93487";"8486";"92945";"75213";"1819941";"1384457";"259284";"176200";"1103690";"352397";"362877";"388416";"0";"0";"0"
"Amsterdam Airport Schiphol";"2005 2e kwartaal";"109311";"887";"105651";"96199";"9452";"52828";"48093";"4735";"52823";"48106";"4717";"11548834";"10376975";"1171859";"5715829";"5167691";"548138";"5833005";"5209284";"623721";"11548834";"7980396";"6502904";"1477492";"3568438";"505571";"194943";"110800";"2538";"113360";"83930";"1904842";"1473023";"257756";"174063";"1158025";"316314";"402699";"439012";"0";"0";"0"
"Amsterdam Airport Schiphol";"2006 2e kwartaal";"114095";"969";"110370";"100433";"9937";"55181";"50211";"4970";"55189";"50222";"4967";"12213418";"10981238";"1232180";"6063997";"5482918";"581079";"6149421";"5498320";"651101";"12213418";"8516597";"7152744";"1363853";"3696821";"535302";"210847";"107725";"0";"137896";"78834";"1909551";"1464674";"264485";"180392";"1251968";"331093";"465842";"455033";"0";"0";"0"
"Amsterdam Airport Schiphol";"2007 2e kwartaal";"117369";"1237";"113642";"104196";"9446";"56816";"52080";"4736";"56826";"52116";"4710";"12448206";"11346166";"1102040";"6189002";"5668664";"520338";"6259204";"5677502";"581702";"12448206";"8696683";"7333261";"1363422";"3751523";"546449";"226208";"100098";"0";"139519";"80624";"1949424";"1488220";"259627";"201577";"1255650";"311365";"456264";"488021";"0";"0";"0"
"Amsterdam Airport Schiphol";"2008 2e kwartaal";"117626";"1365";"113592";"104060";"9532";"56791";"52007";"4784";"56801";"52053";"4748";"12722575";"11597878";"1124697";"6302921";"5776630";"526291";"6419654";"5821248";"598406";"12722575";"8740310";"7288203";"1452107";"3982265";"590863";"261695";"112731";"0";"129822";"86615";"2094761";"1603484";"280582";"210695";"1296641";"327487";"484447";"484707";"0";"0";"0"
"Amsterdam Airport Schiphol";"2009 2e kwartaal";"105886";"1337";"102828";"95512";"7316";"51412";"47735";"3677";"51416";"47777";"3639";"11415481";"10546583";"868898";"5705144";"5284418";"420726";"5710337";"5262165";"448172";"11415481";"7809139";"6479143";"1329996";"3606342";"577026";"231587";"108534";"0";"154210";"82695";"1873915";"1428828";"266751";"178336";"1155401";"310235";"411047";"434119";"0";"0";"0"
"Amsterdam Airport Schiphol";"2010 2e kwartaal";"98614";"1429";"95656";"87161";"8495";"47825";"43572";"4253";"47831";"43589";"4242";"11206888";"10198718";"1008170";"5600152";"5114600";"485552";"5606736";"5084118";"522618";"11206888";"7504329";"6174039";"1330290";"3702559";"610180";"257038";"108557";"197";"160843";"83545";"1846303";"1387363";"277392";"181548";"1246076";"330911";"427451";"487714";"0";"0";"0"
"Amsterdam Airport Schiphol";"2011 2e kwartaal";"113563";"1371";"110225";"101963";"8262";"55106";"50952";"4154";"55119";"51011";"4108";"13111709";"12117650";"994059";"6567439";"6093073";"474366";"6544270";"6024577";"519693";"13111709";"9135579";"7546585";"1588994";"3976130";"586006";"218108";"115408";"7627";"159516";"85347";"2019512";"1505248";"307746";"206518";"1370612";"410996";"457053";"502563";"0";"0";"0"
"Amsterdam Airport Schiphol";"2012 2e kwartaal";"113972";"1037";"110915";"102750";"8165";"55461";"51337";"4124";"55454";"51413";"4041";"13346422";"12324458";"1021964";"6652095";"6170949";"481146";"6694327";"6153509";"540818";"13346422";"9268249";"7534139";"1734110";"4078173";"631537";"254485";"106754";"12652";"164054";"93592";"2060371";"1516769";"293069";"250533";"1386265";"375211";"454059";"556995";"0";"0";"0"
"Amsterdam Airport Schiphol";"2013 2e kwartaal";"115847";"991";"112808";"104668";"8140";"56404";"52299";"4105";"56404";"52369";"4035";"14052631";"12987930";"1064701";"7001699";"6495117";"506582";"7050932";"6492813";"558119";"14052631";"9735021";"7904961";"1830060";"4317610";"662244";"292049";"102649";"15501";"155962";"96083";"2195120";"1609486";"302451";"283183";"1460246";"399862";"458184";"602200";"0";"0";"0"
"Amsterdam Airport Schiphol";"2014 2e kwartaal";"117921";"1025";"114912";"106913";"7999";"57451";"53447";"4004";"57461";"53466";"3995";"14581230";"13502059";"1079171";"7282014";"6766426";"515588";"7299216";"6735633";"563583";"14581230";"10245961";"8403825";"1842136";"4335269";"622895";"223391";"108155";"20753";"162588";"108008";"2198496";"1576534";"308235";"313727";"1513878";"460173";"462216";"591489";"0";"0";"0"
"Amsterdam Airport Schiphol";"2015 2e kwartaal";"121865";"864";"118740";"111289";"7451";"59367";"55687";"3680";"59373";"55602";"3771";"15471882";"14475557";"996325";"7701092";"7229850";"471242";"7770790";"7245707";"525083";"15471882";"11028547";"9065021";"1963526";"4443335";"614040";"215624";"117692";"20401";"171619";"88704";"2330656";"1673402";"319997";"337257";"1498639";"472444";"420420";"605775";"0";"0";"0"
"Amsterdam Airport Schiphol";"2016 2e kwartaal";"129198";"1531";"125617";"120193";"5424";"62812";"60136";"2676";"62805";"60057";"2748";"16712318";"16020519";"691799";"8331673";"8004950";"326723";"8380645";"8015569";"365076";"16712318";"12121048";"10186579";"1934469";"4591270";"563253";"154110";"129496";"21566";"160705";"97376";"2417416";"1734499";"351894";"331023";"1610601";"557923";"459734";"592944";"0";"0";"0"
"Amsterdam Airport Schiphol";"2017 2e kwartaal";"134717";"1419";"131302";"125659";"5643";"65653";"62882";"2771";"65649";"62777";"2872";"18189951";"17399635";"790316";"9081162";"8702721";"378441";"9108789";"8696914";"411875";"18189951";"13110483";"11098240";"2012243";"5079468";"615171";"164813";"144630";"22871";"168067";"114790";"2687646";"1910560";"417135";"359951";"1776651";"615426";"482738";"678487";"0";"0";"0"
"Amsterdam Airport Schiphol";"2018 2e kwartaal";"133568";"1458";"130102";"124853";"5249";"65049";"62427";"2622";"65053";"62426";"2627";"18788244";"18048917";"739327";"9363189";"9011215";"351974";"9425055";"9037702";"387353";"18788244";"13417613";"11327471";"2090142";"5370631";"677193";"191965";"153986";"20558";"183814";"126870";"2857510";"2047586";"410804";"399120";"1835928";"604183";"529591";"702154";"0";"0";"0"
"Amsterdam Airport Schiphol";"2019 2e kwartaal";"133708";"1590";"129946";"127923";"2023";"64968";"63925";"1043";"64978";"63998";"980";"19048071";"18868078";"179993";"9493688";"9411183";"82505";"9554383";"9456895";"97488";"19048071";"13618279";"11520046";"2098233";"5429792";"672241";"197854";"139467";"23136";"180253";"131531";"2961456";"2150295";"414695";"396466";"1796095";"638230";"417798";"740067";"0";"0";"0"
"Amsterdam Airport Schiphol";"2020 2e kwartaal";"19727";"1196";"18217";"16748";"1469";"9105";"8355";"750";"9112";"8393";"719";"805252";"790699";"14553";"408480";"401912";"6568";"396772";"388787";"7985";"805252";"537478";"437093";"100385";"267774";"14156";"4245";"1506";"776";"1542";"6087";"146839";"99812";"19665";"27362";"106276";"22065";"42541";"41670";"503";"0";"0"
"Amsterdam Airport Schiphol";"2021 2e kwartaal";"51611";"1307";"48491";"47275";"1216";"24238";"23623";"615";"24253";"23652";"601";"3571657";"3556870";"14787";"1754988";"1748158";"6830";"1816669";"1808712";"7957";"3571657";"2572182";"1957226";"614956";"999475";"169605";"32174";"46555";"6954";"57691";"26231";"566972";"302647";"177265";"87060";"262898";"126391";"68912";"67595";"0";"0";"0"
"Amsterdam Airport Schiphol";"2022 2e kwartaal";"114346";"1447";"108759";"106031";"2728";"54348";"52894";"1454";"54411";"53137";"1274";"14884252";"14589062";"295190";"7447654";"7310777";"136877";"7436598";"7278285";"158313";"14884252";"10951299";"7538172";"3413127";"3932953";"510587";"140702";"119322";"13180";"129405";"107978";"2566738";"1738044";"445272";"383422";"855628";"486194";"293936";"75498";"0";"0";"0"
"Amsterdam Airport Schiphol";"2023 2e kwartaal*";"119798";"1617";"114738";"112722";"2016";"57363";"56314";"1049";"57375";"56408";"967";"16392545";"16165165";"227380";"8202471";"8096667";"105804";"8190074";"8068498";"121576";"16392545";"11606435";"7927876";"3678559";"4786110";"598318";"181913";"132731";"13820";"145184";"124670";"2804954";"2005108";"423472";"376374";"1382838";"624669";"376281";"381888";"0";"0";"0"
"Amsterdam Airport Schiphol";"2024 2e kwartaal*";"126388";"1656";"122042";"120201";"1841";"61012";"60060";"952";"61030";"60141";"889";"17404173";"17167650";"236523";"8733936";"8621193";"112743";"8670237";"8546457";"123780";"17404173";"12585039";"8656832";"3928207";"4819134";"572417";"192052";"120118";"12031";"136081";"112135";"2813882";"2034565";"425184";"354133";"1432835";"545391";"399628";"487816";"0";"0";"0"
"Rotterdam The Hague Airport";"2000 2e kwartaal";"12926";"19946";"6902";"5163";"1739";"3461";"2588";"873";"3441";"2575";"866";"206335";"134916";"71419";"102253";"68796";"33457";"104082";"66120";"37962";"206335";"205074";"187769";"17305";"1261";"1219";"1219";"0";"0";"0";"0";"0";"0";"0";"0";"42";"42";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2001 2e kwartaal";"10548";"17554";"4951";"3545";"1406";"2475";"1773";"702";"2476";"1772";"704";"215092";"147695";"67397";"104605";"72935";"31670";"110487";"74760";"35727";"215092";"213760";"196900";"16860";"1332";"788";"788";"0";"0";"0";"0";"0";"0";"0";"0";"544";"544";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2002 2e kwartaal";"10062";"14146";"4749";"3607";"1142";"2366";"1803";"563";"2383";"1804";"579";"175563";"117279";"58284";"86914";"58885";"28029";"88649";"58394";"30255";"175563";"174795";"159936";"14859";"768";"660";"660";"0";"0";"0";"0";"108";"108";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2003 2e kwartaal";"8921";"10864";"3956";"2829";"1127";"1977";"1419";"558";"1979";"1410";"569";"175212";"115759";"59453";"85303";"57911";"27392";"89909";"57848";"32061";"175212";"175212";"157629";"17583";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2004 2e kwartaal";"9847";"9070";"5089";"3660";"1429";"2536";"1827";"709";"2553";"1833";"720";"323160";"243089";"80071";"158382";"120995";"37387";"164778";"122094";"42684";"323160";"323140";"267229";"55911";"20";"0";"0";"0";"0";"0";"0";"20";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2005 2e kwartaal";"9764";"10350";"4856";"3751";"1105";"2424";"1870";"554";"2432";"1881";"551";"291233";"234814";"56419";"143927";"117406";"26521";"147306";"117408";"29898";"291233";"291233";"254115";"37118";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2006 2e kwartaal";"9493";"9785";"4966";"3600";"1366";"2514";"1821";"693";"2452";"1779";"673";"295143";"233149";"61994";"145030";"115775";"29255";"150113";"117374";"32739";"295143";"295143";"275047";"20096";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2007 2e kwartaal";"9413";"9500";"4885";"3662";"1223";"2437";"1825";"612";"2448";"1837";"611";"299185";"238364";"60821";"146694";"117882";"28812";"152491";"120482";"32009";"299185";"299185";"282402";"16783";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2008 2e kwartaal";"9249";"8474";"4800";"3553";"1247";"2403";"1772";"631";"2397";"1781";"616";"275220";"209967";"65253";"133834";"102790";"31044";"141386";"107177";"34209";"275220";"275131";"254841";"20290";"89";"0";"0";"0";"0";"0";"0";"89";"89";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2009 2e kwartaal";"8293";"7532";"4117";"3163";"954";"2055";"1577";"478";"2062";"1586";"476";"249165";"187227";"61938";"122123";"92860";"29263";"127042";"94367";"32675";"249165";"248756";"231494";"17262";"409";"200";"200";"0";"0";"0";"0";"209";"0";"209";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2010 2e kwartaal";"8059";"7472";"3788";"2728";"1060";"1898";"1359";"539";"1890";"1369";"521";"239597";"172429";"67168";"117619";"85314";"32305";"121978";"87115";"34863";"239597";"239597";"216222";"23375";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2011 2e kwartaal";"8196";"7222";"4073";"2971";"1102";"2035";"1483";"552";"2038";"1488";"550";"296483";"236213";"60270";"144988";"116628";"28360";"151495";"119585";"31910";"296483";"296137";"270239";"25898";"346";"346";"346";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2012 2e kwartaal";"7461";"5862";"4045";"2952";"1093";"2016";"1469";"547";"2029";"1483";"546";"321819";"261641";"60178";"158237";"129533";"28704";"163582";"132108";"31474";"321819";"320684";"293300";"27384";"1135";"1135";"1135";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2013 2e kwartaal";"8337";"5930";"5153";"4109";"1044";"2563";"2051";"512";"2590";"2058";"532";"426712";"373409";"53303";"209323";"183436";"25887";"217389";"189973";"27416";"426712";"426187";"389245";"36942";"525";"525";"525";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2014 2e kwartaal";"8296";"6142";"5180";"4338";"842";"2581";"2168";"413";"2599";"2170";"429";"477121";"435495";"41626";"235270";"215222";"20048";"241851";"220273";"21578";"477121";"471297";"431560";"39737";"5824";"5824";"5824";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2015 2e kwartaal";"8689";"6462";"5578";"4694";"884";"2787";"2343";"444";"2791";"2351";"440";"505220";"458010";"47210";"247548";"224867";"22681";"257672";"233143";"24529";"505220";"496832";"453530";"43302";"8388";"8388";"8388";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2016 2e kwartaal";"8302";"6830";"5422";"4842";"580";"2698";"2423";"275";"2724";"2419";"305";"499177";"483151";"16026";"245101";"237487";"7614";"254076";"245664";"8412";"499177";"490931";"461371";"29560";"8246";"8246";"8055";"191";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2017 2e kwartaal";"7864";"7314";"4749";"4014";"735";"2371";"2007";"364";"2378";"2007";"371";"531081";"512963";"18118";"259843";"251363";"8480";"271238";"261600";"9638";"531081";"517859";"513029";"4830";"13222";"13222";"11527";"1695";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2018 2e kwartaal";"8785";"7106";"5346";"4441";"905";"2657";"2222";"435";"2689";"2219";"470";"583097";"549918";"33179";"282995";"268859";"14136";"300102";"281059";"19043";"583097";"569374";"546448";"22926";"13723";"13723";"13723";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2019 2e kwartaal";"9033";"6686";"5510";"4712";"798";"2756";"2344";"412";"2754";"2368";"386";"636648";"604169";"32479";"308050";"292318";"15732";"328598";"311851";"16747";"636648";"611900";"578391";"33509";"24748";"24748";"24748";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2020 2e kwartaal";"2662";"5474";"255";"79";"176";"116";"39";"77";"139";"40";"99";"8105";"7253";"852";"2150";"1960";"190";"5955";"5293";"662";"8105";"8105";"7175";"930";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2021 2e kwartaal";"4202";"8281";"1041";"526";"515";"521";"263";"258";"520";"263";"257";"50166";"43954";"6212";"20668";"19128";"1540";"29498";"24826";"4672";"50166";"44683";"41981";"2702";"5483";"5483";"5483";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2022 2e kwartaal";"9513";"7784";"5269";"4173";"1096";"2631";"2077";"554";"2638";"2096";"542";"588091";"555347";"32744";"280979";"266836";"14143";"307112";"288511";"18601";"588091";"561039";"487279";"73760";"27052";"27014";"27014";"0";"0";"0";"0";"38";"38";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2023 2e kwartaal*";"9512";"7450";"5146";"4350";"796";"2573";"2169";"404";"2573";"2181";"392";"623681";"609388";"14293";"301831";"295129";"6702";"321850";"314259";"7591";"623681";"588505";"517252";"71253";"35176";"35175";"35175";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Rotterdam The Hague Airport";"2024 2e kwartaal*";"8575";"7111";"5032";"4371";"661";"2517";"2181";"336";"2515";"2190";"325";"632572";"626056";"6516";"308294";"305346";"2948";"324278";"320710";"3568";"632572";"591538";"516816";"74722";"41034";"41034";"41034";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2000 2e kwartaal";"5506";"961";"4347";"3950";"397";"2176";"1969";"207";"2171";"1981";"190";"96547";"69569";"26978";"45416";"33625";"11791";"51131";"35944";"15187";"96547";"96547";"82186";"14361";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2001 2e kwartaal";"3639";"752";"2616";"2317";"299";"1304";"1154";"150";"1312";"1163";"149";"79369";"53863";"25506";"37347";"25507";"11840";"42022";"28356";"13666";"79369";"79369";"66269";"13100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2002 2e kwartaal";"3768";"679";"2810";"2437";"373";"1403";"1215";"188";"1407";"1222";"185";"110084";"71913";"38171";"54016";"34824";"19192";"56068";"37089";"18979";"110084";"110084";"80006";"30078";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2003 2e kwartaal";"3412";"572";"2565";"2133";"432";"1283";"1065";"218";"1282";"1068";"214";"112435";"66767";"45668";"54884";"32878";"22006";"57551";"33889";"23662";"112435";"112213";"74181";"38032";"222";"222";"222";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2004 2e kwartaal";"3742";"454";"2836";"2227";"609";"1415";"1114";"301";"1421";"1113";"308";"189246";"107629";"81617";"92492";"52052";"40440";"96754";"55577";"41177";"189246";"189246";"97832";"91414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2005 2e kwartaal";"3952";"422";"3005";"2239";"766";"1499";"1119";"380";"1506";"1120";"386";"277709";"193356";"84353";"133777";"94246";"39531";"143932";"99110";"44822";"277709";"277709";"188930";"88779";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2006 2e kwartaal";"3869";"169";"2943";"2047";"896";"1445";"998";"447";"1498";"1049";"449";"316167";"221089";"95078";"154253";"108692";"45561";"161914";"112397";"49517";"316167";"316121";"265013";"51108";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46";"46";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2007 2e kwartaal";"4276";"89";"3222";"2474";"748";"1550";"1174";"376";"1672";"1300";"372";"396862";"314558";"82304";"193024";"154410";"38614";"203838";"160148";"43690";"396862";"396862";"369240";"27622";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2008 2e kwartaal";"4977";"51";"3948";"3174";"774";"1972";"1585";"387";"1976";"1589";"387";"457870";"367160";"90710";"221893";"180990";"40903";"235977";"186170";"49807";"457870";"457748";"415142";"42606";"122";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"122";"122";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2009 2e kwartaal";"4060";"37";"3354";"2787";"567";"1674";"1393";"281";"1680";"1394";"286";"441032";"368782";"72250";"213868";"182074";"31794";"227164";"186708";"40456";"441032";"440789";"399654";"41135";"243";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"243";"243";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2010 2e kwartaal";"4901";"30";"4141";"3586";"555";"2071";"1793";"278";"2070";"1793";"277";"557138";"489641";"67497";"268616";"238187";"30429";"288522";"251454";"37068";"557138";"557138";"503195";"53943";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2011 2e kwartaal";"6457";"0";"5598";"4950";"648";"2801";"2476";"325";"2797";"2474";"323";"761788";"700776";"61012";"373268";"344412";"28856";"388520";"356364";"32156";"761788";"761578";"687148";"74430";"183";"183";"183";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"27"
"Eindhoven Airport";"2012 2e kwartaal";"6994";"0";"6317";"5676";"641";"3155";"2833";"322";"3162";"2843";"319";"850554";"794374";"56180";"415761";"389614";"26147";"434793";"404760";"30033";"850554";"841459";"759840";"81619";"9095";"9095";"9095";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2013 2e kwartaal";"7388";"0";"6815";"6282";"533";"3404";"3138";"266";"3411";"3144";"267";"959322";"907327";"51995";"469519";"445108";"24411";"489803";"462219";"27584";"959322";"936380";"844889";"91491";"22942";"22942";"22942";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2014 2e kwartaal";"8358";"0";"7716";"7578";"138";"3855";"3787";"68";"3861";"3791";"70";"1154251";"1133199";"21052";"568239";"558361";"9878";"586012";"574838";"11174";"1154251";"1136412";"1032249";"104163";"17839";"17839";"17839";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2015 2e kwartaal";"8623";"4";"8123";"7918";"205";"4060";"3957";"103";"4063";"3961";"102";"1258562";"1238683";"19879";"619852";"610315";"9537";"638710";"628368";"10342";"1258562";"1230366";"1125269";"105097";"28196";"28196";"28196";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2016 2e kwartaal";"7700";"0";"7267";"7039";"228";"3634";"3512";"122";"3633";"3527";"106";"1113631";"1096982";"16649";"545942";"537919";"8023";"567689";"559063";"8626";"1113631";"1092167";"1037816";"54351";"21464";"21464";"21464";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2017 2e kwartaal";"10020";"0";"9594";"9375";"219";"4798";"4683";"115";"4796";"4692";"104";"1579929";"1562212";"17717";"779120";"770631";"8489";"800809";"791581";"9228";"1579929";"1546695";"1484846";"61849";"33234";"33234";"33234";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
