TIME;2000-Q2;2001-Q2;2002-Q2;2003-Q2;2004-Q2;2005-Q2;2006-Q2;2007-Q2;2008-Q2;2009-Q2;2010-Q2;2011-Q2;2012-Q2;2013-Q2;2014-Q2;2015-Q2;2016-Q2;2017-Q2;2018-Q2;2019-Q2;2023-Q2;2024-Q2
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;
EINDHOVEN airport - DUBLIN airport;:;:;:;:;:;19,954;27,994;30,666;29,316;23,734;15,065;30,644;28,226;27,922;34,041;31,435;24,627;30,958;31,526;31,428;13,276;13,113
EINDHOVEN airport - TEL-AVIV/BEN GURION airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;13,169;13,713;:;:
EINDHOVEN airport - PESCARA airport;:;:;:;:;:;:;:;:;:;:;10,861;11,005;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - BRINDISI/CASALE airport;:;:;:;:;:;:;:;:;:;:;6,688;:;7,378;8,152;8,918;8,785;7,160;:;:;:;13,499;14,062
EINDHOVEN airport - CATANIA/FONTANAROSSA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;12,306;13,345;10,588;13,716;13,747;13,810;13,475;13,905
EINDHOVEN airport - TRAPANI/BIRGI airport;:;:;:;:;:;:;:;:;:;:;9,537;10,218;10,306;11,474;11,669;12,931;9,628;:;:;:;:;:
EINDHOVEN airport - ALGHERO/FERTILIA airport;:;:;:;:;:;:;:;:;:;:;8,372;11,072;10,681;10,806;11,801;12,994;6,633;:;:;:;:;:
EINDHOVEN airport - MILANO/MALPENSA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - BERGAMO/ORIO AL SERIO airport;:;:;:;:;:;28,973;30,199;30,383;29,793;28,892;42,937;28,811;27,369;28,273;23,587;30,837;25,359;31,579;31,440;31,812;44,822;46,014
EINDHOVEN airport - TORINO/CASELLE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;11,231;:;:;:;:;:;:
EINDHOVEN airport - BOLOGNA/BORGO PANIGALE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;9,518;13,166;12,835;9,919;27,799;27,444;33,924;30,488;38,096
EINDHOVEN airport - TREVISO/S.ANGELO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;10,828;12,772;9,978;12,921;13,374;13,582;13,089;13,360
EINDHOVEN airport - VENEZIA/TESSERA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;10,531;:;:;:;:;:;:;:
EINDHOVEN airport - ROMA/CIAMPINO airport;:;:;:;:;:;27,531;30,826;33,787;32,620;31,806;27,207;29,605;30,422;30,108;35,904;31,392;25,431;32,130;31,978;32,354;:;:
EINDHOVEN airport - ROMA/FIUMICINO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;65,582;63,983
EINDHOVEN airport - NAPOLI/CAPODICHINO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;9,457;10,174;:;:;:;:;:;:;:
EINDHOVEN airport - PISA/S. GIUSTO airport;:;:;:;:;:;:;28,383;29,747;30,373;29,327;25,778;28,904;28,334;32,027;41,358;39,025;31,348;40,203;39,827;40,241;39,783;41,093
EINDHOVEN airport - KAUNAS INTL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;10,696;:;:
EINDHOVEN airport - VILNIUS INTL airport;:;:;:;:;:;:;:;:;:;:;:;6,365;11,130;12,538;16,005;16,440;14,109;16,978;13,524;13,349;27,374;27,400
EINDHOVEN airport - RIGA airport;:;:;:;:;:;:;:;:;:;:;:;:;9,405;8,301;11,941;11,934;9,701;12,418;12,751;12,930;:;:
EINDHOVEN airport - FES/SAISS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;7,850;9,253;9,214;7,148;:;:;:;:;9,351
EINDHOVEN airport - OUJDA/ANGADS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;10,443;9,429;:;:
EINDHOVEN airport - NADOR/EL AROUI airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7,633;6,742;:;:;:;:;:
EINDHOVEN airport - MARRAKECH/MENARA airport;:;:;:;:;:;:;:;:;:;:;:;:;9,095;11,600;8,586;8,621;7,574;9,182;24,507;28,587;21,177;22,397
EINDHOVEN airport - SKOPJE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;8,138;9,218;8,192;7,305;:;9,802;16,708;21,878;22,648
EINDHOVEN airport - LUQA airport;:;:;:;:;:;:;:;:;:;:;:;7,740;8,472;8,783;8,765;8,776;7,170;:;:;:;:;:
EINDHOVEN airport - AMSTERDAM/SCHIPHOL airport;21,429;17,598;16,162;12,099;11,097;9,775;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - MOSS/RYGGE airport;:;:;:;:;:;:;:;:;:;:;7,897;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - GDANSK IM LECHA WALESY airport;:;:;:;:;:;:;:;:;:;:;5,407;7,726;17,898;9,474;16,416;13,237;14,324;22,680;31,932;36,172;35,701;37,078
EINDHOVEN airport - KRAKOW/BALICE airport;:;:;:;:;:;:;:;:;:;:;:;:;8,027;8,545;8,994;13,827;11,288;23,015;23,367;40,630;50,838;51,302
EINDHOVEN airport - KATOWICE/PYRZOWICE airport;:;:;:;:;:;:;:;:;11,841;11,652;14,485;17,023;18,326;18,266;25,041;29,354;24,221;30,327;38,685;39,351;31,443;31,210
EINDHOVEN airport - LUBLIN airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;6,547;:;:;11,165;:;:
EINDHOVEN airport - WARSZAWA/MODLIN airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;12,960;19,655;13,975;17,763;18,015;18,253;18,683;18,704
EINDHOVEN airport - POZNAN/LAWICA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,332;6,479;8,601;9,154;15,971;:;:
EINDHOVEN airport - WARSZAWA/CHOPINA airport;:;:;:;:;:;:;:;:;:;:;9,948;7,854;10,216;17,616;10,114;16,125;13,401;16,766;19,002;21,951;23,085;39,874
EINDHOVEN airport - WROCLAW/STRACHOWICE airport;:;:;:;:;:;:;:;:;:;:;5,935;8,205;11,020;9,560;13,990;16,466;13,426;18,045;21,654;21,925;27,844;13,505
EINDHOVEN airport - FARO airport;:;:;:;:;:;:;:;6,504;10,209;10,289;20,516;31,011;32,617;45,457;49,199;48,980;39,923;70,174;72,105;72,429;73,975;78,367
EINDHOVEN airport - PORTO airport;:;:;:;:;:;:;:;:;:;:;15,683;21,199;17,944;17,112;18,341;18,372;18,629;23,102;23,182;23,582;33,411;33,779
EINDHOVEN airport - LISBOA airport;:;:;:;:;:;:;:;:;:;:;:;:;8,961;17,010;18,666;55,447;41,333;57,879;57,905;50,894;44,334;47,226
EINDHOVEN airport - BUCURESTI/BANEASA-AUREL VLAICU airport;:;:;:;:;:;:;:;:;:;:;:;7,687;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - CLUJ NAPOCA/AVRAM IANCU airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;11,560;11,772;9,309;12,249;12,833;12,564;17,806;17,570
EINDHOVEN airport - IASI airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;11,622;8,839
EINDHOVEN airport - BUCURESTI/HENRI COANDA airport;:;:;:;:;:;:;:;:;:;:;:;:;7,569;8,532;8,931;8,229;6,191;:;11,014;27,045;31,974;39,105
EINDHOVEN airport - TIMISOARA/TRAIAN VUIA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,791;:;:;:;:;:
EINDHOVEN airport - BEOGRAD/NIKOLA TESLA airport;:;:;:;:;:;:;:;:;:;:;:;7,876;11,785;13,302;15,098;12,194;10,496;11,042;13,664;17,795;32,144;17,931
EINDHOVEN airport - MOSCOW/VNUKOVO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;13,557;:;:
EINDHOVEN airport - STOCKHOLM/SKAVSTA airport;:;:;:;:;:;:;:;:;15,625;16,993;16,071;17,308;15,828;11,361;:;:;:;:;:;:;:;:
EINDHOVEN airport - STOCKHOLM/ARLANDA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;14,639;:;:;:
EINDHOVEN airport - BRATISLAVA/M.R.STEFANIK airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;14,099
EINDHOVEN airport - ANTALYA (MIL-CIV) airport;3,358;4,555;18,595;21,197;46,173;40,423;26,748;19,287;28,361;32,821;35,196;54,752;42,851;39,398;51,986;44,464;21,997;19,240;23,458;29,720;23,933;:
EINDHOVEN airport - ISTANBUL/ATATURK airport;:;:;:;:;18,964;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - IZMIR/ADNAN MENDERES airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - MUGLA/DALAMAN airport;:;:;:;5,055;:;11,248;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - MUGLA/MILAS-BODRUM airport;:;2,467;5,508;8,636;15,779;12,392;7,695;:;9,030;:;:;7,973;9,996;12,134;8,804;:;:;:;:;:;:;:
EINDHOVEN airport - ISTANBUL/SABIHA GOKCEN airport;:;:;:;:;:;18,734;9,243;:;:;:;:;:;11,042;14,135;14,912;18,638;:;:;:;:;3,352;7,679
EINDHOVEN airport - MANCHESTER airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;17,031;13,917;17,259;17,986;17,694;13,857;12,795
EINDHOVEN airport - LONDON GATWICK airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - LONDON/CITY airport;:;:;:;:;:;:;:;:;:;5,045;7,076;7,503;6,744;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - LONDON HEATHROW airport;15,587;14,202;11,799;11,155;9,960;9,452;6,057;5,476;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - EDINBURGH airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;13,183;13,140;:;:
EINDHOVEN airport - LONDON STANSTED airport;7,967;6,880;31,415;32,705;32,319;44,154;46,217;49,793;48,166;46,246;42,255;55,012;53,795;51,995;62,445;57,988;51,513;60,691;59,536;86,452;88,504;91,928
GRONINGEN/EELDE airport - MUENCHEN airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;4,188;:;:;:
GRONINGEN/EELDE airport - KOBENHAVN/KASTRUP airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7,028;9,849;:;:;:
GRONINGEN/EELDE airport - IRAKLION/NIKOS KAZANTZAKIS airport;:;:;:;3,850;:;4,926;:;:;:;5,086;:;:;4,091;4,150;4,157;4,004;:;7,245;9,876;10,259;:;:
GRONINGEN/EELDE airport - KOS/IPPOKRATIS airport;:;:;:;:;:;:;:;:;:;:;:;:;4,055;:;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - GRAN CANARIA airport;:;:;:;2,066;3,427;4,483;5,500;5,054;6,199;5,322;:;:;4,521;4,025;4,394;3,983;2,478;7,345;4,360;8,108;:;:
GRONINGEN/EELDE airport - LANZAROTE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;2,448;3,424;:;:;:;:
GRONINGEN/EELDE airport - TENERIFE SUR/REINA SOFIA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;4,065;:;:
GRONINGEN/EELDE airport - BARCELONA/EL PRAT airport;:;:;:;:;:;:;:;:;:;:;:;:;4,670;:;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - GIRONA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;6,002;7,410;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - PALMA DE MALLORCA airport;:;:;:;:;4,831;4,525;:;:;:;:;:;:;8,425;11,139;12,835;6,217;6,789;6,732;6,171;7,205;:;:
GRONINGEN/EELDE airport - PALMA/SON SAN JUAN (MIL) airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - MARSEILLE-PROVENCE airport;:;:;:;:;:;:;:;:;:;:;:;:;2,693;:;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - BERGAMO/ORIO AL SERIO airport;:;:;:;:;:;:;:;:;:;:;:;:;3,261;5,691;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - MAASTRICHT/AACHEN airport;:;:;:;4,376;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - ROTTERDAM airport;:;:;:;3,357;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - GDANSK IM LECHA WALESY airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7,645;7,794;8,057;:;:;:;:
GRONINGEN/EELDE airport - FARO airport;:;:;:;:;4,062;4,338;6,584;7,031;7,442;7,088;:;:;6,886;6,525;6,819;7,444;8,375;8,928;6,180;6,725;:;:
GRONINGEN/EELDE airport - ANTALYA (MIL-CIV) airport;:;:;:;:;4,121;5,633;:;:;:;:;:;:;5,356;8,492;8,913;8,270;4,596;:;4,032;4,564;:;:
GRONINGEN/EELDE airport - MUGLA/DALAMAN airport;:;:;:;:;4,023;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - MUGLA/MILAS-BODRUM airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - SOUTHEND airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;1,555;5,257;5,737;7,656;17,147;10,155;:;:
GRONINGEN/EELDE airport - ABERDEEN/DYCE airport;:;:;:;:;2,802;3,164;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
GRONINGEN/EELDE airport - LONDON STANSTED airport;:;:;:;8,527;5,606;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - INNSBRUCK airport;:;:;:;:;:;:;:;:;679;1,412;910;1,173;1,492;603;9;19;608;3,371;3,184;4,121;2,243;1,025
ROTTERDAM airport - SALZBURG airport;:;:;:;:;:;:;:;:;:;26;598;297;992;262;10;1;335;2,471;1,333;1,803;2,046;537
ROTTERDAM airport - WIEN-SCHWECHAT airport;:;:;:;:;:;:;:;:;:;:;:;6,927;12,716;13,387;16,998;21,300;31,435;20,956;13,506;12,638;:;:
ROTTERDAM airport - PRAHA/RUZYNE airport;:;:;:;:;:;:;:;:;:;:;:;7,085;11,699;13,231;17,915;:;:;:;:;:;:;:
ROTTERDAM airport - BERLIN-BRANDENBURG airport;:;:;:;:;16,543;15,961;:;:;:;:;:;:;:;:;:;:;24,983;16,361;:;:;:;:
ROTTERDAM airport - HAMBURG airport;5,641;5,848;5,153;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - MUENCHEN airport;:;:;:;:;:;:;:;:;:;:;:;:;:;13,598;10,503;9,992;10,680;:;:;:;:;:
ROTTERDAM airport - BERLIN-TEGEL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;18,979;:;:;:;:;:;:
ROTTERDAM airport - KOBENHAVN/KASTRUP airport;:;:;:;:;19,259;17,054;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - IRAKLION/NIKOS KAZANTZAKIS airport;5,468;5,914;:;:;:;:;:;:;:;:;5,304;:;:;:;:;:;:;:;21,385;16,075;21,607;15,809
ROTTERDAM airport - KOS/IPPOKRATIS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;5,691;13,049;:
ROTTERDAM airport - RODOS/DIAGORAS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7,279;:;:
ROTTERDAM airport - GRAN CANARIA airport;8,801;5,807;6,444;6,132;5,612;5,513;5,464;5,587;:;:;3,633;:;:;:;:;:;:;8,597;8,527;7,224;18,619;19,006
ROTTERDAM airport - LANZAROTE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;9,395;:;:
ROTTERDAM airport - TENERIFE SUR/REINA SOFIA airport;:;:;:;:;:;:;:;:;:;:;:;:;5,849;:;:;6,283;4,480;8,317;10,244;10,368;16,348;16,295
ROTTERDAM airport - ALICANTE airport;16,472;19,503;20,088;30,947;26,861;26,359;27,319;25,733;25,304;24,197;22,200;23,908;24,146;26,621;27,784;28,769;28,744;39,772;41,672;48,341;48,592;51,517
ROTTERDAM airport - ALMERIA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;9,859;8,939;8,940;:
ROTTERDAM airport - BARCELONA/EL PRAT airport;:;18,993;:;:;:;:;:;:;:;:;16,086;21,644;23,952;24,071;25,197;52,145;51,490;53,136;39,449;27,218;27,677;27,373
ROTTERDAM airport - GIRONA airport;:;:;:;:;21,053;22,222;21,336;23,012;19,386;18,692;4,746;9,006;7,323;7,371;8,816;9,358;7,993;22,053;16,083;19,591;21,254;23,998
ROTTERDAM airport - IBIZA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;8,485;16,112;17,501;23,361;35,591;38,613;44,271;44,722;46,974
ROTTERDAM airport - ADOLFO SUAREZ MADRID-BARAJAS airport;:;:;:;:;:;:;:;:;:;:;:;9,166;13,165;14,506;16,596;23,674;:;:;:;:;:;:
ROTTERDAM airport - MALAGA/COSTA DEL SOL airport;15,829;21,782;28,290;29,402;25,011;24,791;24,733;25,859;25,180;25,035;23,212;26,849;30,613;32,998;33,417;33,352;36,774;48,462;51,487;56,005;58,962;61,429
ROTTERDAM airport - PALMA DE MALLORCA airport;9,326;9,758;8,566;8,325;8,464;:;:;:;:;:;5,747;:;:;11,631;18,546;15,960;22,730;23,918;29,389;30,972;17,575;18,753
ROTTERDAM airport - VALENCIA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;10,065;11,718;:;:;11,183;14,509;15,093;16,799;17,311
ROTTERDAM airport - BERGERAC-ROUMANIERE airport;:;:;:;:;:;:;:;:;:;:;5,747;7,116;7,493;8,964;12,828;12,389;:;13,785;13,616;16,292;12,345;14,173
ROTTERDAM airport - NICE-COTE D'AZUR airport;:;14,732;:;:;:;:;20,534;20,826;19,891;17,337;17,471;18,257;17,615;19,572;20,536;22,989;:;:;:;:;:;:
ROTTERDAM airport - MONTPELLIER MEDITERRANEE airport;:;:;:;:;:;:;:;:;:;:;:;6,970;7,553;9,197;9,005;7,757;7,528;8,624;:;7,344;:;:
ROTTERDAM airport - PARIS-CHARLES DE GAULLE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - PARIS-ORLY airport;4,023;:;:;:;:;:;:;:;12,072;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - HYERES-LE PALYVESTRE airport;:;:;:;:;:;:;12,030;13,372;11,265;7,437;:;6,973;6,809;8,444;8,676;7,738;8,135;8,182;7,892;10,404;:;:
ROTTERDAM airport - DUBROVNIK/CILIPI airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,686;8,833;10,587;:
ROTTERDAM airport - PULA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7,223;9,598;5,595;:
ROTTERDAM airport - SPLIT/KASTELA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,143;9,714;11,253;11,287;10,260;13,372;14,243;15,195
ROTTERDAM airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;14,166;14,343;20,379;35,454;21,996;14,159;:;:;:
ROTTERDAM airport - DUBLIN airport;:;:;:;:;19,028;15,735;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - BRINDISI/CASALE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,263;8,003;:
ROTTERDAM airport - MILANO/MALPENSA airport;:;:;:;:;:;:;:;:;:;:;:;7,900;10,554;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - BERGAMO/ORIO AL SERIO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,336;:
ROTTERDAM airport - VENEZIA/TESSERA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;11,947;13,059;:;:;:
ROTTERDAM airport - ROMA/FIUMICINO airport;:;:;:;:;:;:;27,266;26,574;24,246;21,676;18,100;21,828;22,211;25,106;28,648;26,767;38,021;25,509;16,892;14,071;13,511;14,711
ROTTERDAM airport - PISA/S. GIUSTO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;10,293;14,464;16,967;:;:
ROTTERDAM airport - FES/SAISS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;4,498;:
ROTTERDAM airport - NADOR/EL AROUI airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;6,006;7,501;8,016
ROTTERDAM airport - MARRAKECH/MENARA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;6,277;:
ROTTERDAM airport - AL HOCEIMA/CHERIF EL IDRISSI airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;6,120;6,177;8,117;8,172
ROTTERDAM airport - TANGER/IBN BATOUTA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;10,957;8,596;8,769
ROTTERDAM airport - LUQA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - OSLO/GARDERMOEN airport;:;:;:;:;20,037;17,882;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - FARO airport;11,933;9,664;9,194;:;:;6,984;31,353;30,252;29,505;28,162;25,494;30,237;32,980;34,637;32,548;34,911;38,248;43,736;46,077;48,951;46,799;46,266
ROTTERDAM airport - LISBOA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;17,135;18,953;20,158;23,783
ROTTERDAM airport - STOCKHOLM/SKAVSTA airport;:;:;:;:;17,433;16,102;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - ANTALYA (MIL-CIV) airport;:;10,619;10,640;8,947;23,394;12,997;13,571;9,329;10,919;9,388;14,440;19,357;17,980;16,074;9,612;10,351;:;:;19,890;15,328;20,739;8,915
ROTTERDAM airport - KAYSERI (MIL/CIV) airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;4,542;:;:
ROTTERDAM airport - ISTANBUL/ATATURK airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;13,090;23,538;18,728;:;:;:;:;:
ROTTERDAM airport - MUGLA/DALAMAN airport;:;5,036;:;:;:;:;:;:;:;:;5,126;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - MUGLA/MILAS-BODRUM airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - ISTANBUL/SABIHA GOKCEN airport;:;:;:;:;:;:;:;:;:;:;:;:;:;9,544;11,795;:;:;:;:;11,274;1;19,536
ROTTERDAM airport - MANCHESTER airport;6,680;6,240;4,494;:;:;:;:;:;:;:;:;:;:;:;:;:;7,853;:;:;:;:;:
ROTTERDAM airport - LONDON LUTON airport;:;:;:;:;:;:;:;:;:;19,013;:;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - LONDON GATWICK airport;16,408;16,039;5,415;:;:;:;:;:;:;:;14,865;:;:;:;:;:;:;:;:;:;:;:
ROTTERDAM airport - LONDON/CITY airport;22,861;23,222;23,821;23,077;24,490;32,319;36,650;34,757;33,347;27,268;27,327;32,698;27,820;32,049;42,102;55,958;58,440;48,692;45,493;50,892;37,997;33,029
ROTTERDAM airport - LONDON HEATHROW airport;27,057;22,497;21,815;22,107;20,269;18,826;14,874;14,790;9,346;:;:;:;:;33,896;29,609;:;:;:;:;:;:;:
ROTTERDAM airport - EDINBURGH airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;9,919;:
ROTTERDAM airport - LONDON STANSTED airport;:;:;:;:;32,165;26,987;25,299;25,931;:;:;:;:;:;:;:;:;:;:;:;:;:;:
;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;
