TIME;2000-Q2;2001-Q2;2002-Q2;2003-Q2;2004-Q2;2005-Q2;2006-Q2;2007-Q2;2008-Q2;2009-Q2;2010-Q2;2011-Q2;2012-Q2;2013-Q2;2014-Q2;2015-Q2;2016-Q2;2017-Q2;2018-Q2;2019-Q2;2023-Q2;2024-Q2
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - BOSTON/GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL, MA. airport;47,216;42,075;44,906;39,755;44,664;48,031;48,267;48,112;68,369;64,614;52,613;73,399;74,743;80,269;66,644;72,468;80,583;94,197;82,684;100,413;115,952;122,094
AMSTERDAM/SCHIPHOL airport - COVINGTON-CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL, KY. airport;:;:;:;:;:;29,478;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - DALLAS-FORT WORTH INTERNATIONAL, TX. airport;:;:;:;:;:;:;:;:;32,899;23,879;23,594;26,180;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - DETROIT METROPOLITAN WAYNE COUNTY, MI. airport;256,903;245,283;195,755;191,288;201,686;219,644;201,586;189,335;212,755;197,820;173,843;161,447;170,143;175,935;180,643;171,057;151,509;158,021;177,767;179,090;133,897;136,419
AMSTERDAM/SCHIPHOL airport - NEWARK LIBERTY INTERNATIONAL, NJ. airport;98,659;80,966;89,720;89,051;103,151;95,124;116,290;100,895;107,236;97,317;80,657;79,153;61,731;63,245;65,157;62,769;71,296;68,827;40,179;40,322;45,512;38,881
AMSTERDAM/SCHIPHOL airport - WASHINGTON DULLES INTERNATIONAL, DC. airport;89,813;85,205;85,592;73,509;78,578;75,461;81,540;81,470;73,651;71,495;73,347;69,491;71,126;73,196;74,679;74,705;75,289;87,879;87,277;88,411;81,622;77,159
AMSTERDAM/SCHIPHOL airport - GEORGE BUSH INTERCONTINENTAL/HOUSTON, TX. airport;47,529;42,710;61,400;69,726;90,511;104,420;88,647;99,885;94,929;87,077;74,182;79,710;79,659;84,856;94,738;85,935;79,943;83,772;90,727;88,430;81,938;79,735
AMSTERDAM/SCHIPHOL airport - NEW YORK/JOHN F. KENNEDY INTERNATIONAL, NY. airport;150,588;138,720;118,942;104,419;110,620;132,457;136,939;132,074;145,480;133,111;137,556;145,914;147,929;161,556;178,136;188,647;192,090;188,599;243,733;281,259;243,905;244,268
AMSTERDAM/SCHIPHOL airport - LAS VEGAS/MCCARRAN INTERNATIONAL, NV. airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;37,290;:
AMSTERDAM/SCHIPHOL airport - LOS ANGELES INTERNATIONAL, CA. airport;100,170;93,399;49,005;47,647;46,807;48,151;48,303;66,939;46,592;47,714;56,829;60,089;58,696;66,810;67,002;79,369;78,288;95,944;114,579;127,482;94,057;104,052
AMSTERDAM/SCHIPHOL airport - ORLANDO INTERNATIONAL, FL. airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;36,923;33,195;:;:
AMSTERDAM/SCHIPHOL airport - MEMPHIS INTERNATIONAL, TENN. airport;50,089;47,236;44,078;37,830;43,637;45,225;44,976;43,598;45,749;40,231;30,905;32,271;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - MIAMI INTERNATIONAL, FL. airport;30,635;53,297;50,970;57,116;41,189;32,446;25,151;24,794;34,798;:;:;26,884;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - MINNEAPOLIS-ST. PAUL INTERNATIONAL (WOLD CHAMBERLAIN), MN. airport;137,875;120,725;103,527;96,773;133,527;131,614;142,138;152,006;143,676;134,215;129,459;126,520;121,913;132,335;126,197;134,795;128,292;161,590;158,774;164,262;164,719;160,843
AMSTERDAM/SCHIPHOL airport - CHICAGO - O'HARE INTERNATIONAL, IL. airport;66,168;89,581;67,138;61,426;78,838;77,715;77,854;75,581;76,725;65,593;69,912;74,803;74,646;73,136;73,769;72,933;73,618;73,183;85,249;82,905;89,028;87,933
AMSTERDAM/SCHIPHOL airport - ORLANDO, FLA. airport;25,757;:;:;:;:;24,791;:;:;:;:;22,323;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - PORTLAND INTERNATIONAL, OR. airport;:;:;:;:;:;:;:;:;30,119;24,070;30,780;37,827;38,886;44,464;43,479;41,978;45,246;46,233;46,016;44,310;43,939;43,546
AMSTERDAM/SCHIPHOL airport - PHILADELPHIA INTERNATIONAL, PA. airport;:;26,943;31,546;27,700;31,875;30,155;30,069;25,592;24,830;25,595;24,379;27,098;27,432;26,776;27,022;26,283;26,473;24,863;28,628;32,932;35,933;:
AMSTERDAM/SCHIPHOL airport - SEATTLE/SEATTLE-TACOMA INTERNATIONAL, WA. airport;47,857;46,271;45,823;36,521;44,998;48,347;43,336;40,147;39,220;47,718;50,856;61,313;58,075;75,836;61,792;63,504;78,957;85,909;84,099;77,153;90,972;89,798
AMSTERDAM/SCHIPHOL airport - SAN FRANCISCO/INTL,CA. airport;64,236;58,968;47,734;36,481;48,881;56,283;49,410;70,714;68,846;69,315;59,819;64,156;69,372;69,630;70,858;68,678;77,698;84,241;90,863;135,277;91,248;91,869
AMSTERDAM/SCHIPHOL airport - SALT LAKE CITY INTERNATIONAL, UT. airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;43,752;58,093;56,830;57,467;66,970;69,750
AMSTERDAM/SCHIPHOL airport - MARGARITA, NUEVA ESPARTA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - MAIQUETIA, INTL, SIMON BOLIVAR, VARGAS airport;28,781;28,650;24,243;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - CAPE TOWN (CAPE TOWN INTERNATIONAL airport) airport;22,909;24,568;28,561;28,975;26,601;30,231;27,749;32,840;35,504;35,397;35,838;38,506;41,097;31,617;39,871;37,924;46,239;51,742;59,359;61,661;63,409;56,008
AMSTERDAM/SCHIPHOL airport - O.R TAMBO INTERNATIONAL airport;35,995;39,478;50,994;49,429;48,612;53,699;51,085;47,784;51,111;47,298;47,707;46,841;47,573;50,258;51,628;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - OLIFANTS RIVER BRIDGE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;50,780;51,137;53,592;56,069;58,840;61,261;56,127
MAASTRICHT/AACHEN airport - BERLIN-BRANDENBURG airport;:;:;:;:;:;26,746;33,100;:;:;:;:;17,709;7,746;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - MUENCHEN airport;5,360;10,002;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - HURGHADA / INTL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;4,130;:;:
MAASTRICHT/AACHEN airport - IRAKLION/NIKOS KAZANTZAKIS airport;7,157;7,995;7,030;:;:;:;:;:;:;:;:;:;:;:;:;:;:;4,731;6,679;10,536;:;:
MAASTRICHT/AACHEN airport - KOS/IPPOKRATIS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;6,862;4,398;:;:
MAASTRICHT/AACHEN airport - RODOS/DIAGORAS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;6,965;7,217;:;:
MAASTRICHT/AACHEN airport - ZAKINTHOS/DIONISIOS SOLOMOS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - GRAN CANARIA airport;7,640;7,629;7,436;6,644;4,763;4,247;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - TENERIFE SUR/REINA SOFIA airport;4,443;5,749;5,506;:;:;:;:;:;:;:;:;6,912;:;3,969;4,136;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - ALICANTE airport;:;:;:;:;:;:;:;:;15,747;15,929;16,015;21,556;12,645;11,971;13,116;13,171;13,732;13,726;13,176;13,980;3,977;:
MAASTRICHT/AACHEN airport - BARCELONA/EL PRAT airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;3,865;:
MAASTRICHT/AACHEN airport - GIRONA airport;:;:;:;:;:;:;:;3,924;12,195;8,432;7,121;8,824;10,771;11,022;9,996;8,190;8,229;8,695;6,158;9,288;:;:
MAASTRICHT/AACHEN airport - MALAGA/COSTA DEL SOL airport;:;:;:;:;:;:;:;:;:;:;1,539;7,728;7,950;7,375;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - PALMA DE MALLORCA airport;8,349;6,994;7,773;:;:;:;:;:;:;:;:;:;9,470;9,922;6,640;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - REUS airport;:;:;:;:;:;:;:;:;:;:;4,250;9,622;:;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - VALENCIA airport;:;:;:;:;:;:;:;:;10,110;:;:;:;:;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;3,994;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - DUBLIN airport;:;:;:;:;:;:;:;:;:;:;:;:;:;8,780;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - BARI/PALESE airport;:;:;:;:;:;:;:;:;:;:;:;:;6,231;6,995;7,392;7,912;8,304;8,785;8,916;8,782;3,397;:
MAASTRICHT/AACHEN airport - TRAPANI/BIRGI airport;:;:;:;:;:;:;:;:;:;:;8,649;10,374;10,021;10,437;9,310;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - BERGAMO/ORIO AL SERIO airport;:;:;:;:;:;:;:;:;:;:;:;:;6,419;8,578;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - TREVISO/S.ANGELO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;6,423;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - PISA/S. GIUSTO airport;:;:;:;:;:;:;:;:;:;8,256;4,959;6,313;5,505;5,962;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - LUQA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,545;:;:
MAASTRICHT/AACHEN airport - AMSTERDAM/SCHIPHOL airport;27,922;24,125;21,735;16,298;16,820;14,658;10,833;13,597;14,534;:;:;:;:;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - ROTTERDAM airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
