Data extracted on 14/10/2024 15:15:52 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Air passenger transport routes between partner airports and main airports in the Netherlands [avia_par_nl__custom_13280147];;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;25/09/2024 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Passenger;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic and transport measurement;;Passengers on board;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - SANTIAGO/AP ARTURO MERINO BENITEZ airport;:;;:;;:;;:;;:;;:;;:;;99,203;;119,557;;104,805;;:;;:;;93,723;;96,185;
AMSTERDAM/SCHIPHOL airport - BEIJING/CAPITAL airport;335,157;;315,143;;287,261;;300,619;;317,090;;379,870;;359,192;;361,002;;395,796;;391,316;;:;;:;;:;;130,819;
AMSTERDAM/SCHIPHOL airport - BEIJING/DAXING INTERNATIONAL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - GUANGZHOU/BAIYUN airport;:;;:;;101,697;;135,937;;139,846;;141,389;;144,900;;140,556;;174,537;;185,354;;:;;:;;:;;93,695;
AMSTERDAM/SCHIPHOL airport - XIAMEN/GAOQI airport;:;;:;;76,489;;:;;:;;89,147;;114,632;;123,606;;131,419;;130,095;;:;;:;;:;;76,205;
AMSTERDAM/SCHIPHOL airport - HANGZHOU/XIAOSHAN airport;:;;82,429;;88,956;;77,782;;:;;76,502;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - SHANGHAI/PUDONG airport;291,862;;325,372;;320,866;;301,778;;289,686;;294,454;;381,008;;410,207;;431,098;;450,761;;:;;:;;:;;233,225;
AMSTERDAM/SCHIPHOL airport - SHANGHAI/HONGQIAO airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - CHENGDU/SHUANGLIU airport;:;;76,736;;77,234;;77,860;;76,767;;77,962;;78,032;;95,923;;98,267;;96,672;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - BOGOTA INTL/CUNDINAMARCA airport;:;;:;;:;;:;;:;;:;;80,281;;86,637;;110,894;;140,856;;:;;85,714;;188,092;;190,536;
